date,Open,High,Low,Close,Volume,MarketCap
2017-05-23,2191.56,2320.82,2178.5,2320.42,1378749952,37933704066
2017-05-24,2321.37,2523.72,2321.37,2443.64,1725379968,39952841999
2017-05-25,2446.24,2763.71,2285.3,2304.98,2406700032,37690456715
2017-05-26,2320.89,2573.79,2071.99,2202.42,1763480064,36017660894
2017-05-27,2196.27,2260.2,1855.83,2038.87,1700480000,33347170525
2017-05-28,2054.08,2267.34,2054.08,2155.8,1147139968,35264171110
2017-05-29,2159.43,2307.05,2107.17,2255.61,994625024,36901102917
2017-05-30,2255.36,2301.96,2124.57,2175.47,1443970048,35594903085
2017-05-31,2187.19,2311.08,2145.57,2286.41,1544829952,37414813240
2017-06-01,2288.33,2448.39,2288.33,2407.88,1653180032,39407633763
2017-06-02,2404.03,2488.55,2373.32,2488.55,1317030016,40732491835
2017-06-03,2493.72,2581.91,2423.57,2515.35,1514950016,41177190057
2017-06-04,2547.79,2585.89,2452.54,2511.81,1355120000,41124262595
2017-06-05,2512.4,2686.81,2510.22,2686.81,1369309952,43994968834
2017-06-06,2690.84,2999.91,2690.84,2863.2,2089609984,46888622160
2017-06-07,2869.38,2869.38,2700.56,2732.16,1517709952,44748237218
2017-06-08,2720.49,2815.3,2670.95,2805.62,1281170048,45957247989
2017-06-09,2807.44,2901.71,2795.62,2823.81,1348950016,46260465854
2017-06-10,2828.14,2950.99,2746.55,2947.71,2018889984,48295501718
2017-06-11,2942.41,2996.6,2840.53,2958.11,1752400000,48471330146
2017-06-12,2953.22,2997.26,2518.56,2659.63,2569530112,43585351533
2017-06-13,2680.91,2789.04,2650.38,2717.02,1781200000,44530631894
2017-06-14,2716.88,2786.83,2412.94,2506.37,1696560000,41082567339
2017-06-15,2499.58,2534.71,2212.96,2464.58,2026259968,40402259202
2017-06-16,2469.57,2539.92,2385.15,2518.56,1195190016,41291821423
2017-06-17,2514.01,2685.19,2484.96,2655.88,1534509952,43548031452
2017-06-18,2655.35,2662.1,2516.33,2548.29,1178659968,41788418974
2017-06-19,2549.03,2662.85,2549.03,2589.6,1446840064,42470734800
2017-06-20,2591.26,2763.45,2589.82,2721.79,1854189952,44643512689
2017-06-21,2709.43,2772.01,2660.4,2689.1,1626579968,44111929173
2017-06-22,2691.03,2723.74,2642.36,2705.41,1097939968,44384244937
2017-06-23,2707.34,2765.17,2706.37,2744.91,961318976,45037797053
2017-06-24,2738.52,2757.94,2583.19,2608.72,982750016,42807952581
2017-06-25,2607.25,2682.26,2552.12,2589.41,1161100032,42495001716
2017-06-26,2590.57,2615.25,2376.29,2478.45,1663280000,40677994354
2017-06-27,2478.45,2552.45,2332.99,2552.45,1489789952,41897190525
2017-06-28,2553.03,2603.98,2484.42,2574.79,1183869952,42268942193
2017-06-29,2567.56,2588.83,2510.48,2539.32,949979008,41690395783
2017-06-30,2539.24,2559.25,2478.43,2480.84,860273024,40735082695
2017-07-01,2492.6,2515.27,2419.23,2434.55,779913984,39980058373
2017-07-02,2436.4,2514.28,2394.84,2506.47,803747008,41167015221
2017-07-03,2498.56,2595,2480.47,2564.06,964112000,42118211083
2017-07-04,2561,2631.59,2559.35,2601.64,985516032,42740618673
2017-07-05,2602.87,2622.65,2538.55,2601.99,941566016,42751085999
2017-07-06,2608.1,2616.72,2581.69,2608.56,761956992,42863758795
2017-07-07,2608.59,2916.14,2498.87,2518.66,917411968,41391217675
2017-07-08,2520.27,2571.34,2492.31,2571.34,733329984,42262222823
2017-07-09,2572.61,2635.49,2517.59,2518.44,527856000,41397076604
2017-07-10,2525.25,2537.16,2321.13,2372.56,1111200000,39005033499
2017-07-11,2385.89,2413.47,2296.81,2337.79,1329760000,38438497236
2017-07-12,2332.77,2423.71,2275.14,2398.84,1117410048,39447604438
2017-07-13,2402.7,2425.22,2340.83,2357.9,835769984,38778935907
2017-07-14,2360.59,2363.25,2183.22,2233.34,882502976,36734255488
2017-07-15,2230.12,2231.14,1990.41,1998.86,993608000,32880721300
2017-07-16,1991.98,2058.77,1843.03,1929.82,1182870016,31748939343
